"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Females","05 Malignant neoplasm of oesophagus (C15)","2003",54,2.1,2.0,-22.2,4,0.2,0.2,-80.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2004",69,2.6,2.6,23.8,9,0.5,0.5,150.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2005",82,3.0,3.1,15.4,11,0.6,0.6,20.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2006",81,2.9,3.0,-3.3,14,0.8,0.8,33.3
"Females","05 Malignant neoplasm of oesophagus (C15)","2007",81,2.9,3.0,0.0,19,1.0,1.1,25.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2008",60,2.1,2.2,-27.6,14,0.7,0.8,-30.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2009",77,2.6,2.8,23.8,16,0.8,0.9,14.3
"Females","05 Malignant neoplasm of oesophagus (C15)","2010",82,2.9,3.0,11.5,11,0.6,0.6,-25.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2011",77,2.5,2.8,-13.8,13,0.7,0.7,16.7
"Females","05 Malignant neoplasm of oesophagus (C15)","2012",86,2.7,3.1,8.0,21,1.0,1.2,42.9
"Females","05 Malignant neoplasm of oesophagus (C15)","2013",66,2.1,2.4,-22.2,11,0.6,0.6,-40.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2014",89,2.8,3.2,33.3,18,0.9,1.0,50.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2015",65,2.0,2.3,-28.6,13,0.7,0.8,-22.2
"Females","05 Malignant neoplasm of oesophagus (C15)","2016",80,2.4,2.9,20.0,13,0.7,0.8,0.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2017",75,2.3,2.7,-4.2,13,0.7,0.8,0.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2018",85,2.4,3.0,4.3,11,0.6,0.7,-14.3
"Females","05 Malignant neoplasm of oesophagus (C15)","2019",86,2.5,3.1,4.2,17,0.9,1.0,50.0
"Females","05 Malignant neoplasm of oesophagus (C15)","2020",110,3.2,3.9,28.0,19,1.1,1.1,22.2
"Females","05 Malignant neoplasm of oesophagus (C15)","2021",90,2.5,3.2,-21.9,13,0.7,0.8,-36.4
"Females","05 Malignant neoplasm of oesophagus (C15)","2022",89,2.5,3.2,0.0,14,0.8,0.8,14.3
"Females","05 Malignant neoplasm of oesophagus (C15)","2023",101,2.8,3.6,12.0,15,0.9,0.9,12.5
"Females","05 Malignant neoplasm of oesophagus (C15)","2024",103,2.8,3.6,0.0,17,0.9,1.0,0.0
"Females","06 Malignant neoplasm of stomach (C16)","2000",245,9.8,9.2,-3.9,55,3.4,3.2,25.9
"Females","06 Malignant neoplasm of stomach (C16)","2001",268,10.6,10.1,8.2,51,3.1,3.0,-8.8
"Females","06 Malignant neoplasm of stomach (C16)","2002",278,11.0,10.5,3.8,55,3.2,3.2,3.2
"Females","06 Malignant neoplasm of stomach (C16)","2003",246,9.3,9.2,-15.5,44,2.6,2.6,-18.8
"Females","06 Malignant neoplasm of stomach (C16)","2004",275,10.4,10.3,11.8,56,3.3,3.2,26.9
"Females","06 Malignant neoplasm of stomach (C16)","2005",240,9.0,9.0,-13.5,62,3.5,3.6,6.1
"Females","06 Malignant neoplasm of stomach (C16)","2006",218,8.1,8.1,-10.0,53,3.0,3.1,-14.3
"Females","06 Malignant neoplasm of stomach (C16)","2007",220,7.8,8.2,-3.7,70,3.8,4.0,26.7
"Females","06 Malignant neoplasm of stomach (C16)","2008",240,8.4,8.9,7.7,62,3.3,3.5,-13.2
"Females","06 Malignant neoplasm of stomach (C16)","2009",209,7.2,7.7,-14.3,47,2.5,2.7,-24.2
"Females","06 Malignant neoplasm of stomach (C16)","2010",198,6.8,7.2,-5.6,42,2.2,2.4,-12.0
"Females","06 Malignant neoplasm of stomach (C16)","2011",204,6.7,7.4,-1.5,47,2.5,2.7,13.6
"Females","06 Malignant neoplasm of stomach (C16)","2012",197,6.5,7.2,-3.0,50,2.7,2.9,8.0
"Females","06 Malignant neoplasm of stomach (C16)","2013",217,7.0,7.8,7.7,50,2.7,2.9,0.0
"Females","06 Malignant neoplasm of stomach (C16)","2014",169,5.3,6.1,-24.3,35,1.9,2.0,-29.6
"Females","06 Malignant neoplasm of stomach (C16)","2015",192,6.1,6.9,15.1,50,2.8,2.9,47.4
"Females","06 Malignant neoplasm of stomach (C16)","2016",176,5.4,6.3,-11.5,35,1.9,2.0,-32.1
"Females","06 Malignant neoplasm of stomach (C16)","2017",191,5.8,6.8,7.4,33,1.8,1.9,-5.3
"Females","06 Malignant neoplasm of stomach (C16)","2018",156,4.7,5.6,-19.0,36,2.0,2.1,11.1
"Females","06 Malignant neoplasm of stomach (C16)","2019",179,5.3,6.4,12.8,37,2.1,2.2,5.0
"Females","06 Malignant neoplasm of stomach (C16)","2020",177,5.2,6.3,-1.9,38,2.1,2.3,0.0
"Females","06 Malignant neoplasm of stomach (C16)","2021",126,3.5,4.5,-32.7,19,1.1,1.1,-47.6
"Females","06 Malignant neoplasm of stomach (C16)","2022",151,4.3,5.4,22.9,35,2.0,2.1,81.8
"Females","06 Malignant neoplasm of stomach (C16)","2023",165,4.6,5.9,7.0,31,1.8,1.8,-10.0
"Females","06 Malignant neoplasm of stomach (C16)","2024",147,4.1,5.2,-10.9,23,1.3,1.4,-27.8
"Females","07 Malignant neoplasm of colon (C18, C19)","2000",403,16.2,15.2,18.2,79,4.9,4.6,16.7
"Females","07 Malignant neoplasm of colon (C18, C19)","2001",330,13.2,12.4,-18.5,63,3.8,3.7,-22.4
"Females","07 Malignant neoplasm of colon (C18, C19)","2002",348,13.6,13.1,3.0,56,3.3,3.3,-13.2
"Females","07 Malignant neoplasm of colon (C18, C19)","2003",382,14.9,14.3,9.6,67,3.9,3.9,18.2
"Females","07 Malignant neoplasm of colon (C18, C19)","2004",316,12.0,11.8,-19.5,67,3.9,3.9,0.0
"Females","07 Malignant neoplasm of colon (C18, C19)","2005",386,14.5,14.4,20.8,84,4.7,4.9,20.5
"Females","07 Malignant neoplasm of colon (C18, C19)","2006",352,12.9,13.1,-11.0,61,3.4,3.5,-27.7
"Females","07 Malignant neoplasm of colon (C18, C19)","2007",365,12.9,13.5,0.0,72,3.9,4.1,14.7
"Females","07 Malignant neoplasm of colon (C18, C19)","2008",384,13.2,14.2,2.3,64,3.4,3.7,-12.8
"Females","07 Malignant neoplasm of colon (C18, C19)","2009",433,15.0,15.9,13.6,85,4.4,4.8,29.4
"Females","07 Malignant neoplasm of colon (C18, C19)","2010",384,13.0,14.1,-13.3,64,3.4,3.6,-22.7
"Females","07 Malignant neoplasm of colon (C18, C19)","2011",420,13.9,15.3,6.9,88,4.4,5.0,29.4
"Females","07 Malignant neoplasm of colon (C18, C19)","2012",413,13.5,15.0,-2.9,83,4.3,4.8,-2.3
"Females","07 Malignant neoplasm of colon (C18, C19)","2013",420,13.4,15.2,-0.7,73,4.0,4.2,-7.0
"Females","07 Malignant neoplasm of colon (C18, C19)","2014",420,13.1,15.1,-2.2,69,3.8,4.0,-5.0
"Females","07 Malignant neoplasm of colon (C18, C19)","2015",415,12.7,14.9,-3.1,61,3.3,3.6,-13.2
"Females","07 Malignant neoplasm of colon (C18, C19)","2016",445,13.6,16.0,7.1,71,3.9,4.2,18.2
"Females","07 Malignant neoplasm of colon (C18, C19)","2017",470,13.8,16.8,1.5,69,3.7,4.1,-5.1
"Females","07 Malignant neoplasm of colon (C18, C19)","2018",425,12.4,15.2,-10.1,70,3.8,4.1,2.7
"Females","07 Malignant neoplasm of colon (C18, C19)","2019",429,12.4,15.3,0.0,63,3.5,3.7,-7.9
"Females","07 Malignant neoplasm of colon (C18, C19)","2020",447,12.5,16.0,0.8,66,3.6,3.9,2.9
"Females","07 Malignant neoplasm of colon (C18, C19)","2021",452,12.5,16.1,0.0,60,3.4,3.6,-5.6
"Females","07 Malignant neoplasm of colon (C18, C19)","2022",451,12.5,16.1,0.0,76,4.2,4.5,23.5
"Females","07 Malignant neoplasm of colon (C18, C19)","2023",501,13.6,17.8,8.8,68,3.9,4.0,-7.1
"Females","07 Malignant neoplasm of colon (C18, C19)","2024",491,12.9,17.3,-5.1,54,3.1,3.2,-20.5
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2000",160,6.5,6.0,-9.7,32,1.9,1.9,-5.0
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2001",168,6.7,6.3,3.1,39,2.4,2.3,26.3
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2002",161,6.4,6.1,-4.5,36,2.1,2.1,-12.5
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2003",177,6.8,6.6,6.3,34,2.0,2.0,-4.8
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2004",168,6.4,6.3,-5.9,36,2.0,2.1,0.0
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2005",158,5.8,5.9,-9.4,33,1.9,1.9,-5.0
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2006",164,6.0,6.1,3.4,28,1.6,1.6,-15.8
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2007",159,5.7,5.9,-5.0,34,1.9,2.0,18.8
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2008",151,5.4,5.6,-5.3,33,1.8,1.9,-5.3
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2009",132,4.5,4.9,-16.7,33,1.7,1.9,-5.6
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2010",162,5.4,5.9,20.0,35,1.8,2.0,5.9
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2011",169,5.6,6.2,3.7,31,1.6,1.8,-11.1
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2012",167,5.5,6.1,-1.8,28,1.4,1.6,-12.5
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2013",163,5.4,5.9,-1.8,44,2.4,2.5,71.4
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2014",163,5.1,5.9,-5.6,32,1.7,1.9,-29.2
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2015",142,4.4,5.1,-13.7,30,1.6,1.7,-5.9
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2016",184,5.6,6.6,27.3,43,2.3,2.5,43.8
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2017",181,5.4,6.5,-3.6,30,1.6,1.8,-30.4
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2018",184,5.4,6.6,0.0,34,1.9,2.0,18.8
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2019",169,4.9,6.0,-9.3,31,1.7,1.8,-10.5
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2020",148,4.3,5.3,-12.2,28,1.6,1.7,-5.9
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2021",172,4.9,6.1,14.0,32,1.8,1.9,12.5
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2022",198,5.6,7.1,14.3,39,2.2,2.3,22.2
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2023",207,5.7,7.3,1.8,33,1.9,2.0,-13.6
"Females","08 Malignant neoplasm of rectum, anus and anal canal (C20-C21)","2024",175,4.7,6.2,-17.5,25,1.4,1.5,-26.3
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2000",180,7.2,6.8,-1.4,29,1.8,1.7,5.9
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2001",182,7.2,6.9,0.0,28,1.7,1.6,-5.6
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2002",160,6.3,6.0,-12.5,25,1.5,1.5,-11.8
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2003",158,6.1,5.9,-3.2,25,1.5,1.5,0.0
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2004",162,6.1,6.1,0.0,34,2.0,2.0,33.3
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2005",170,6.3,6.3,3.3,32,1.8,1.8,-10.0
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2006",177,6.5,6.6,3.2,36,2.0,2.1,11.1
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2007",155,5.6,5.7,-13.8,30,1.6,1.7,-20.0
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2008",161,5.6,5.9,0.0,28,1.4,1.6,-12.5
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2009",193,6.6,7.1,17.9,34,1.7,1.9,21.4
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2010",174,5.9,6.4,-10.6,28,1.4,1.6,-17.6
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2011",163,5.4,5.9,-8.5,21,1.1,1.2,-21.4
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2012",181,5.8,6.6,7.4,29,1.5,1.7,36.4
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2013",187,5.8,6.8,0.0,34,1.8,2.0,20.0
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2014",186,5.8,6.7,0.0,29,1.5,1.7,-16.7
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2015",188,5.7,6.8,-1.7,21,1.1,1.2,-26.7
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2016",177,5.4,6.3,-5.3,24,1.3,1.4,18.2
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2017",198,6.0,7.1,11.1,42,2.3,2.5,76.9
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2018",181,5.3,6.5,-11.7,26,1.4,1.5,-39.1
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2019",187,5.3,6.7,0.0,19,1.0,1.1,-28.6
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2020",174,5.0,6.2,-5.7,24,1.3,1.4,30.0
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2021",228,6.5,8.1,30.0,33,1.9,2.0,46.2
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2022",208,5.8,7.4,-10.8,37,2.1,2.2,10.5
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2023",201,5.4,7.1,-6.9,22,1.2,1.3,-42.9
"Females","09 Primary malignant neoplasm of liver and intrahepatic bile ducts (C22)","2024",212,5.5,7.5,1.9,20,1.2,1.2,0.0
"Females","10 Malignant neoplasm of pancreas (C25)","2000",394,16.2,14.9,9.5,75,4.7,4.4,27.0
"Females","10 Malignant neoplasm of pancreas (C25)","2001",386,15.4,14.5,-4.9,76,4.7,4.4,0.0
"Females","10 Malignant neoplasm of pancreas (C25)","2002",410,16.1,15.4,4.5,99,6.0,5.8,27.7
"Females","10 Malignant neoplasm of pancreas (C25)","2003",475,18.5,17.8,14.9,105,6.2,6.1,3.3
"Females","10 Malignant neoplasm of pancreas (C25)","2004",469,17.7,17.6,-4.3,96,5.5,5.6,-11.3
"Females","10 Malignant neoplasm of pancreas (C25)","2005",433,16.2,16.2,-8.5,100,5.7,5.8,3.6
"Females","10 Malignant neoplasm of pancreas (C25)","2006",453,16.5,16.9,1.9,82,4.5,4.7,-21.1
"Females","10 Malignant neoplasm of pancreas (C25)","2007",515,18.5,19.1,12.1,80,4.3,4.6,-4.4
"Females","10 Malignant neoplasm of pancreas (C25)","2008",547,19.1,20.2,3.2,108,5.6,6.2,30.2
"Females","10 Malignant neoplasm of pancreas (C25)","2009",484,16.8,17.8,-12.0,100,5.1,5.7,-8.9
"Females","10 Malignant neoplasm of pancreas (C25)","2010",497,16.8,18.2,0.0,108,5.4,6.2,5.9
"Females","10 Malignant neoplasm of pancreas (C25)","2011",548,18.2,20.0,8.3,104,5.2,5.9,-3.7
"Females","10 Malignant neoplasm of pancreas (C25)","2012",533,17.4,19.4,-4.4,88,4.5,5.1,-13.5
"Females","10 Malignant neoplasm of pancreas (C25)","2013",526,17.0,19.0,-2.3,108,5.7,6.2,26.7
"Females","10 Malignant neoplasm of pancreas (C25)","2014",545,17.5,19.6,2.9,89,4.7,5.2,-17.5
"Females","10 Malignant neoplasm of pancreas (C25)","2015",597,18.4,21.5,5.1,92,4.8,5.4,2.1
"Females","10 Malignant neoplasm of pancreas (C25)","2016",609,18.6,21.8,1.1,80,4.2,4.7,-12.5
"Females","10 Malignant neoplasm of pancreas (C25)","2017",591,17.8,21.2,-4.3,79,4.2,4.6,0.0
"Females","10 Malignant neoplasm of pancreas (C25)","2018",651,19.3,23.3,8.4,96,5.2,5.7,23.8
"Females","10 Malignant neoplasm of pancreas (C25)","2019",621,18.2,22.2,-5.7,94,5.1,5.6,-1.9
"Females","10 Malignant neoplasm of pancreas (C25)","2020",682,19.3,24.4,6.0,78,4.3,4.6,-15.7
"Females","10 Malignant neoplasm of pancreas (C25)","2021",634,17.8,22.6,-7.8,96,5.2,5.7,20.9
"Females","10 Malignant neoplasm of pancreas (C25)","2022",652,18.0,23.2,1.1,83,4.6,4.9,-11.5
"Females","10 Malignant neoplasm of pancreas (C25)","2023",672,18.4,23.8,2.2,94,5.2,5.6,13.0
"Females","10 Malignant neoplasm of pancreas (C25)","2024",663,17.8,23.4,-3.3,92,5.2,5.4,0.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2000",464,18.6,17.5,7.5,114,7.1,6.7,10.9
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2001",490,19.4,18.5,4.3,130,7.9,7.6,11.3
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2002",473,18.6,17.8,-4.1,143,8.6,8.3,8.9
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2003",526,20.2,19.7,8.6,149,8.8,8.6,2.3
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2004",497,18.9,18.6,-6.4,145,8.3,8.4,-5.7
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2005",540,19.9,20.2,5.3,156,8.7,9.0,4.8
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2006",548,20.0,20.4,0.5,150,8.3,8.6,-4.6
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2007",575,20.6,21.3,3.0,189,10.2,10.9,22.9
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2008",619,22.0,22.8,6.8,186,9.7,10.6,-4.9
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2009",601,20.9,22.1,-5.0,192,9.7,10.9,0.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2010",672,23.2,24.6,11.0,177,8.8,10.1,-9.3
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2011",678,23.0,24.7,-0.9,174,8.8,9.9,0.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2012",736,24.5,26.7,6.5,175,8.8,10.0,0.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2013",728,23.9,26.3,-2.4,186,9.5,10.7,8.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2014",775,25.1,27.9,5.0,158,8.3,9.2,-12.6
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2015",781,24.6,28.1,-2.0,164,8.5,9.6,2.4
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2016",782,24.5,28.0,-0.4,176,9.2,10.3,8.2
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2017",775,23.7,27.8,-3.3,152,8.0,8.9,-13.0
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2018",811,24.4,29.0,3.0,152,8.1,9.0,1.3
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2019",846,25.0,30.3,2.5,129,7.0,7.7,-13.6
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2020",872,25.3,31.2,1.2,140,7.6,8.3,8.6
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2021",862,24.7,30.8,-2.4,141,7.7,8.4,1.3
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2022",918,25.5,32.7,3.2,99,5.4,5.9,-29.9
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2023",896,24.8,31.8,-2.7,132,7.3,7.8,35.2
"Females","11 Malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)","2024",853,23.3,30.1,-6.0,120,6.6,7.1,-9.6
"Females","12 Malignant melanoma of skin (C43)","2000",58,2.3,2.2,0.0,18,1.1,1.1,-8.3
"Females","12 Malignant melanoma of skin (C43)","2001",67,2.6,2.5,13.0,25,1.5,1.5,36.4
"Females","12 Malignant melanoma of skin (C43)","2002",72,2.8,2.7,7.7,18,1.1,1.0,-26.7
"Females","12 Malignant melanoma of skin (C43)","2003",58,2.3,2.2,-17.9,12,0.7,0.7,-36.4
"Females","12 Malignant melanoma of skin (C43)","2004",60,2.3,2.2,0.0,22,1.2,1.3,71.4
"Females","12 Malignant melanoma of skin (C43)","2005",62,2.3,2.3,0.0,21,1.2,1.2,0.0
"Females","12 Malignant melanoma of skin (C43)","2006",76,2.8,2.8,21.7,24,1.3,1.4,8.3
"Females","12 Malignant melanoma of skin (C43)","2007",75,2.6,2.8,-7.1,25,1.4,1.4,7.7
"Females","12 Malignant melanoma of skin (C43)","2008",73,2.6,2.7,0.0,24,1.3,1.4,-7.1
"Females","12 Malignant melanoma of skin (C43)","2009",69,2.5,2.5,-3.8,15,0.8,0.9,-38.5
"Females","12 Malignant melanoma of skin (C43)","2010",71,2.5,2.6,0.0,20,1.1,1.1,37.5
"Females","12 Malignant melanoma of skin (C43)","2011",77,2.6,2.8,4.0,28,1.5,1.6,36.4
"Females","12 Malignant melanoma of skin (C43)","2012",85,2.8,3.1,7.7,22,1.2,1.3,-20.0
"Females","12 Malignant melanoma of skin (C43)","2013",80,2.5,2.9,-10.7,18,1.0,1.0,-16.7
"Females","12 Malignant melanoma of skin (C43)","2014",83,2.7,3.0,8.0,18,1.0,1.0,0.0
"Females","12 Malignant melanoma of skin (C43)","2015",78,2.4,2.8,-11.1,21,1.2,1.2,20.0
"Females","12 Malignant melanoma of skin (C43)","2016",69,2.1,2.5,-12.5,21,1.1,1.2,-8.3
"Females","12 Malignant melanoma of skin (C43)","2017",74,2.3,2.6,9.5,17,1.0,1.0,-9.1
"Females","12 Malignant melanoma of skin (C43)","2018",88,2.7,3.1,17.4,20,1.1,1.2,10.0
"Females","12 Malignant melanoma of skin (C43)","2019",81,2.5,2.9,-7.4,25,1.4,1.5,27.3
"Females","12 Malignant melanoma of skin (C43)","2020",82,2.4,2.9,-4.0,19,1.1,1.1,-21.4
"Females","12 Malignant melanoma of skin (C43)","2021",88,2.5,3.1,4.2,18,1.0,1.1,-9.1
"Females","12 Malignant melanoma of skin (C43)","2022",95,2.7,3.4,8.0,19,1.1,1.1,10.0
"Females","12 Malignant melanoma of skin (C43)","2023",85,2.4,3.0,-11.1,18,1.1,1.1,0.0
"Females","12 Malignant melanoma of skin (C43)","2024",86,2.3,3.0,-4.2,14,0.8,0.8,-27.3
"Females","13 Malignant neoplasm of breast (C50)","2000",822,32.8,31.0,-3.8,368,22.3,21.5,1.8
"Females","13 Malignant neoplasm of breast (C50)","2001",849,33.4,32.0,1.8,350,20.5,20.4,-8.1
"Females","13 Malignant neoplasm of breast (C50)","2002",787,30.5,29.6,-8.7,329,19.1,19.1,-6.8
"Females","13 Malignant neoplasm of breast (C50)","2003",816,31.6,30.6,3.6,325,18.9,18.9,-1.0
"Females","13 Malignant neoplasm of breast (C50)","2004",808,30.6,30.3,-3.2,324,18.4,18.8,-2.6
"Females","13 Malignant neoplasm of breast (C50)","2005",827,30.9,30.9,1.0,355,19.9,20.5,8.2
"Females","13 Malignant neoplasm of breast (C50)","2006",856,31.6,31.8,2.3,353,19.4,20.4,-2.5
"Females","13 Malignant neoplasm of breast (C50)","2007",852,30.6,31.6,-3.2,332,18.2,19.1,-6.2
"Females","13 Malignant neoplasm of breast (C50)","2008",825,29.5,30.5,-3.6,304,16.3,17.4,-10.4
"Females","13 Malignant neoplasm of breast (C50)","2009",819,28.7,30.1,-2.7,324,17.1,18.5,4.9
"Females","13 Malignant neoplasm of breast (C50)","2010",886,31.0,32.4,8.0,347,18.5,19.8,8.2
"Females","13 Malignant neoplasm of breast (C50)","2011",836,28.3,30.5,-8.7,293,15.4,16.7,-16.8
"Females","13 Malignant neoplasm of breast (C50)","2012",876,29.4,31.8,3.9,325,17.4,18.7,13.0
"Females","13 Malignant neoplasm of breast (C50)","2013",866,28.7,31.3,-2.4,290,15.8,16.7,-9.2
"Females","13 Malignant neoplasm of breast (C50)","2014",813,26.6,29.3,-7.3,254,13.8,14.7,-12.7
"Females","13 Malignant neoplasm of breast (C50)","2015",816,26.1,29.3,-1.9,237,12.9,13.8,-6.5
"Females","13 Malignant neoplasm of breast (C50)","2016",874,27.8,31.3,6.5,279,15.5,16.3,20.2
"Females","13 Malignant neoplasm of breast (C50)","2017",908,28.5,32.5,2.5,269,15.1,15.8,-2.6
"Females","13 Malignant neoplasm of breast (C50)","2018",854,26.5,30.6,-7.0,268,15.1,15.8,0.0
"Females","13 Malignant neoplasm of breast (C50)","2019",874,26.7,31.3,0.8,227,13.0,13.5,-13.9
"Females","13 Malignant neoplasm of breast (C50)","2020",946,28.1,33.8,5.2,236,13.7,14.1,5.4
"Females","13 Malignant neoplasm of breast (C50)","2021",895,26.3,31.9,-6.4,219,12.8,13.1,-6.6
"Females","13 Malignant neoplasm of breast (C50)","2022",861,24.9,30.7,-5.3,198,11.6,11.8,-9.4
"Females","13 Malignant neoplasm of breast (C50)","2023",839,23.9,29.7,-4.0,186,10.8,11.0,-6.9
"Females","13 Malignant neoplasm of breast (C50)","2024",893,25.2,31.5,5.4,210,12.3,12.4,13.9
"Females","14 Malignant neoplasm of cervix uteri (C53)","2000",77,2.9,2.9,20.8,34,2.0,2.0,5.3
"Females","14 Malignant neoplasm of cervix uteri (C53)","2001",66,2.6,2.5,-10.3,26,1.5,1.5,-25.0
"Females","14 Malignant neoplasm of cervix uteri (C53)","2002",49,1.9,1.8,-26.9,14,0.8,0.8,-46.7
"Females","14 Malignant neoplasm of cervix uteri (C53)","2003",53,2.1,2.0,10.5,16,0.9,0.9,12.5
"Females","14 Malignant neoplasm of cervix uteri (C53)","2004",59,2.2,2.2,4.8,20,1.1,1.2,22.2
