"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","00 COVID-19 virus infection (U071, U072, U109)","2019",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2020",558,9.2,10.1,..,42,1.2,1.2,..
"Total","00 COVID-19 virus infection (U071, U072, U109)","2021",952,15.3,17.2,66.3,133,3.8,3.9,216.7
"Total","00 COVID-19 virus infection (U071, U072, U109)","2022",4349,68.5,78.3,347.7,212,6.0,6.2,57.9
"Total","00 COVID-19 virus infection (U071, U072, U109)","2023",2229,34.3,39.9,-49.9,65,1.8,1.9,-70.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2024",668,10.1,11.9,-70.6,31,0.9,0.9,-50.0
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2000",393,10.2,7.6,-1.9,79,2.5,2.3,-7.4
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2001",366,9.3,7.1,-8.8,77,2.3,2.2,-8.0
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2002",382,9.8,7.3,5.4,65,1.9,1.9,-17.4
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2003",377,9.4,7.2,-4.1,78,2.3,2.2,21.1
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2004",343,8.2,6.6,-12.8,74,2.1,2.1,-8.7
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2005",367,8.8,7.0,7.3,78,2.2,2.2,4.8
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2006",335,7.6,6.4,-13.6,58,1.6,1.7,-27.3
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2007",459,10.4,8.7,36.8,83,2.3,2.4,43.8
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2008",438,9.7,8.2,-6.7,80,2.2,2.3,-4.3
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2009",430,9.3,8.1,-4.1,72,1.9,2.0,-13.6
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2010",436,9.1,8.1,-2.2,70,1.9,2.0,0.0
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2011",406,8.2,7.5,-9.9,79,2.1,2.2,10.5
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2012",306,5.9,5.7,-28.0,54,1.4,1.5,-33.3
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2013",312,6.1,5.7,3.4,49,1.3,1.4,-7.1
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2014",310,6.0,5.7,-1.6,50,1.4,1.4,7.7
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2015",258,4.7,4.7,-21.7,40,1.1,1.2,-21.4
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2016",255,4.6,4.6,-2.1,57,1.6,1.6,45.5
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2017",286,5.0,5.2,8.7,47,1.4,1.4,-12.5
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2018",244,4.2,4.4,-16.0,40,1.1,1.2,-21.4
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2019",210,3.6,3.8,-14.3,37,1.0,1.1,-9.1
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2020",203,3.4,3.7,-5.6,40,1.1,1.2,10.0
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2021",212,3.4,3.8,0.0,25,0.7,0.7,-36.4
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2022",237,3.7,4.3,8.8,29,0.8,0.8,14.3
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2023",191,3.0,3.4,-18.9,37,1.1,1.1,37.5
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2024",177,2.8,3.1,-6.7,40,1.2,1.2,9.1
"Total","01 Tuberculosis (A15-A19, B90, J65)","2000",129,3.3,2.5,10.0,16,0.5,0.5,25.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2001",98,2.5,1.9,-24.2,11,0.3,0.3,-40.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2002",98,2.5,1.9,0.0,6,0.2,0.2,-33.3
"Total","01 Tuberculosis (A15-A19, B90, J65)","2003",82,2.0,1.6,-20.0,9,0.3,0.3,50.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2004",68,1.6,1.3,-20.0,10,0.3,0.3,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2005",77,1.8,1.5,12.5,10,0.3,0.3,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2006",60,1.4,1.1,-22.2,7,0.2,0.2,-33.3
"Total","01 Tuberculosis (A15-A19, B90, J65)","2007",57,1.2,1.1,-14.3,7,0.2,0.2,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2008",61,1.4,1.1,16.7,4,0.1,0.1,-50.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2009",54,1.2,1.0,-14.3,4,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2010",48,1.0,0.9,-16.7,4,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2011",61,1.2,1.1,20.0,4,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2012",49,0.9,0.9,-25.0,4,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2013",31,0.6,0.6,-33.3,2,0.0,0.1,-100.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2014",40,0.8,0.7,33.3,0,0.0,0.0,..
"Total","01 Tuberculosis (A15-A19, B90, J65)","2015",33,0.6,0.6,-25.0,0,0.0,0.0,0.0
